Readers,Writers,TotalTime(ms),AvgWaitingTime(ms)
58,3,364,7
58,4,461,13
58,5,610,352
58,6,712,161
58,7,819,143
58,8,910,397
58,9,1014,459
58,10,1120,445
59,1,159,0
59,2,259,3
59,3,367,7
59,4,515,190
59,5,617,141
59,6,717,357
59,7,815,185
59,8,866,48
59,9,1011,200
59,10,1065,73
60,1,157,0
60,2,314,51
60,3,413,35
60,4,458,12
60,5,561,19
60,6,710,195
60,7,761,37
60,8,914,412
60,9,1018,390
60,10,1114,660
61,1,156,0
61,2,260,3
61,3,360,7
61,4,512,277
61,5,611,278
61,6,710,359
61,7,813,390
61,8,863,46
61,9,1012,547
61,10,1115,85
62,1,163,0
62,2,258,3
62,3,408,195
62,4,466,12
62,5,558,18
62,6,709,439
62,7,763,35
62,8,915,436
62,9,959,57
62,10,1122,187
63,1,161,0
63,2,258,3
63,3,362,6
63,4,458,12
63,5,611,278
63,6,718,195
63,7,778,35
63,8,918,334
63,9,1015,216
63,10,1119,430
64,1,217,51
64,2,264,3
64,3,414,152
64,4,512,203
64,5,619,257
64,6,660,25
64,7,811,301
64,8,920,271
64,9,1017,331
64,10,1113,579
65,1,162,0
65,2,306,147
65,3,361,6
65,4,511,226
65,5,610,25
65,6,717,301
65,7,764,34
65,8,916,301
65,9,1014,68
65,10,1062,67
66,1,160,0
66,2,259,3
66,3,411,210
66,4,458,11
66,5,611,330
66,6,712,342
66,7,764,33
66,8,916,480
66,9,1016,538
66,10,1063,66
67,1,158,0
67,2,313,98
67,3,409,157
67,4,516,119
67,5,564,17
67,6,717,33
67,7,813,421
67,8,916,157
67,9,969,53
67,10,1123,508
68,1,163,0
68,2,262,2
68,3,407,11
68,4,471,11
68,5,612,325
68,6,673,24
68,7,761,33
68,8,914,445
68,9,1018,77
68,10,1064,64
69,1,158,0
69,2,261,2
69,3,358,6
69,4,511,116
69,5,582,16
69,6,674,24
69,7,816,338
69,8,919,381
69,9,1018,272
69,10,1123,543
70,1,179,0
70,2,258,2
70,3,372,6
70,4,514,222
70,5,613,289
70,6,672,23
70,7,769,32
70,8,859,41
70,9,1020,75
70,10,1117,433
71,1,158,0
71,2,262,2
71,3,362,6
71,4,513,275
71,5,614,255
71,6,713,270
71,7,813,494
71,8,915,127
71,9,1017,301
71,10,1118,544
72,1,158,0
72,2,309,156
72,3,357,6
72,4,509,259
72,5,568,16
72,6,710,107
72,7,813,384
72,8,915,444
72,9,962,50
72,10,1126,513
73,1,164,0
73,2,262,2
73,3,362,5
73,4,517,263
73,5,563,16
73,6,712,295
73,7,764,30
73,8,914,610
73,9,1017,584
73,10,1116,315
74,1,158,0
74,2,261,2
74,3,413,218
74,4,511,126
74,5,559,15
74,6,714,341
74,7,814,367
